total_bill,tip,sex,smoker,day,time,size
29.64,4.00,Female,No,Sun,Lunch,3
17.21,2.29,Male,No,Sun,Lunch,2
13.42,1.48,Female,No,Sun,Lunch,2
10.33,1.67,Female,No,Sun,Lunch,3
16.81,2.00,Male,No,Sun,Lunch,2
32.30,11.00,Male,Yes,Sun,Dinner,3
16.98,5.20,Female,Yes,Sun,Dinner,2
32.68,5.00,Male,Yes,Sun,Dinner,2
30.67,4.00,Male,Yes,Sun,Dinner,3
28.97,3.00,Male,Yes,Sun,Dinner,2
10.77,1.47,Male,Yes,Sun,Dinner,2
34.30,4.30,Male,Yes,Sun,Dinner,4
38.07,4.00,Male,Yes,Sun,Dinner,3
21.97,5.00,Female,Yes,Sun,Dinner,2
20.65,3.35,Male,Yes,Sat,Dinner,3
17.92,4.08,Male,Yes,Sat,Dinner,2
18.34,2.34,Female,Yes,Sat,Dinner,2
13.11,1.00,Female,Yes,Sat,Dinner,2
37.51,2.00,Male,Yes,Sat,Dinner,4
21.58,3.92,Female,Yes,Sat,Lunch,2
19.69,3.00,Male,Yes,Sat,Lunch,4
21.34,3.63,Male,Yes,Sat,Lunch,3
37.06,4.00,Male,Yes,Fri,Dinner,4
16.06,2.73,Male,Yes,Fri,Dinner,2
24.27,2.03,Male,Yes,Fri,Lunch,2
12.76,2.23,Female,Yes,Fri,Lunch,2
30.07,5.25,Male,Yes,Fri,Lunch,2
25.89,5.16,Female,Yes,Fri,Lunch,3
48.33,9.00,Male,Yes,Fri,Lunch,4
13.27,1.90,Male,Yes,Fri,Lunch,2
20.30,2.03,Male,Yes,Fri,Lunch,2
24.44,3.30,Male,Yes,Fri,Lunch,2
19.77,2.18,Female,Yes,Fri,Lunch,4
32.90,3.11,Male,Yes,Sun,Dinner,2
16.32,4.30,Female,Yes,Sun,Dinner,2
32.58,4.27,Male,Yes,Sun,Dinner,4
34.81,5.20,Female,Yes,Sun,Dinner,4
16.33,2.67,Female,Yes,Sun,Dinner,2
34.48,6.78,Male,Yes,Sun,Dinner,3
23.67,3.50,Female,Yes,Sun,Lunch,2
40.69,4.00,Male,Yes,Sun,Lunch,3
21.89,5.50,Female,Yes,Sun,Lunch,3
18.76,3.00,Female,Yes,Sun,Lunch,2
14.78,3.23,Male,Yes,Sun,Lunch,2
24.06,3.60,Male,Yes,Sun,Lunch,3
18.26,3.25,Female,Yes,Sun,Lunch,3
18.82,3.18,Male,Yes,Sun,Lunch,2
18.64,1.36,Female,Yes,Sat,Dinner,2
21.31,3.61,Male,Yes,Sat,Dinner,2
16.55,2.64,Male,Yes,Sat,Dinner,2
17.77,3.27,Female,Yes,Sat,Dinner,2
24.06,3.60,Male,Yes,Sat,Dinner,3
13.28,1.64,Female,Yes,Sat,Lunch,2
17.40,4.50,Male,Yes,Sat,Lunch,2
34.63,3.55,Male,Yes,Sat,Lunch,2
34.65,3.68,Female,Yes,Sat,Lunch,4
23.33,5.65,Male,Yes,Sat,Lunch,2
45.35,3.50,Male,Yes,Sat,Lunch,3
23.17,6.50,Female,Yes,Sat,Lunch,4
40.55,3.00,Male,Yes,Sat,Lunch,2
20.69,5.00,Female,Yes,Fri,Lunch,2
20.90,3.50,Female,Yes,Fri,Lunch,3
30.46,2.00,Male,Yes,Fri,Lunch,3
18.15,3.50,Female,Yes,Fri,Lunch,2
23.10,1.61,Male,Yes,Fri,Lunch,2
15.01,2.09,Male,Yes,Fri,Lunch,2
23.70,3.97,Female,Yes,Fri,Lunch,2
32.40,6.00,Male,Yes,Fri,Lunch,4
29.40,5.20,Female,Yes,Fri,Lunch,2
27.16,2.96,Male,No,Fri,Lunch,2
38.26,3.20,Male,No,Fri,Lunch,3
19.85,1.50,Female,No,Fri,Lunch,2
14.62,3.30,Male,No,Fri,Lunch,2
18.51,2.00,Female,No,Fri,Lunch,2
28.44,3.30,Male,No,Fri,Lunch,2
32.45,3.50,Male,No,Fri,Lunch,2
20.06,1.50,Female,No,Fri,Lunch,3
15.98,2.03,Male,No,Fri,Lunch,2
34.63,3.55,Female,No,Fri,Lunch,2
28.65,3.57,Male,No,Fri,Lunch,4
16.04,2.24,Male,No,Fri,Lunch,3
13.94,3.06,Female,No,Fri,Lunch,2
19.77,2.39,Female,No,Fri,Lunch,2
29.99,2.20,Male,No,Fri,Lunch,2
20.27,1.25,Female,No,Fri,Lunch,2
22.39,3.48,Female,No,Fri,Lunch,3
34.83,5.17,Male,No,Fri,Lunch,4
13.18,1.65,Female,No,Fri,Lunch,3
26.08,3.00,Male,No,Fri,Lunch,3
25.00,3.11,Female,No,Fri,Lunch,2
23.71,5.00,Male,No,Fri,Lunch,3
21.16,3.21,Female,No,Fri,Lunch,2
28.97,3.29,Male,No,Fri,Lunch,2
22.49,3.50,Female,No,Sat,Lunch,2
34.35,1.50,Male,No,Sat,Lunch,3
31.99,5.40,Male,No,Sat,Lunch,3
21.01,1.48,Female,No,Sat,Lunch,2
35.29,5.07,Male,No,Sat,Lunch,4
20.29,3.27,Female,No,Sat,Lunch,3
24.59,3.61,Male,No,Sat,Lunch,2
25.41,4.29,Female,No,Sat,Lunch,2
30.84,5.94,Female,No,Sat,Lunch,3
25.93,1.73,Male,No,Sat,Lunch,2
32.15,1.90,Male,No,Sat,Lunch,3
17.57,2.50,Female,No,Sat,Lunch,2
29.85,5.14,Female,No,Sat,Lunch,2
48.17,5.00,Male,No,Sat,Lunch,6
20.69,5.00,Male,No,Sat,Lunch,5
38.99,3.35,Male,No,Sat,Lunch,4
19.44,3.00,Female,No,Sat,Lunch,3
22.67,2.00,Male,No,Sat,Lunch,2
17.10,1.89,Female,No,Sat,Lunch,2
19.25,4.00,Female,No,Sun,Lunch,2
26.41,1.94,Female,No,Sun,Lunch,3
25.50,5.71,Female,No,Sun,Lunch,2
29.18,3.85,Male,No,Sun,Lunch,3
24.35,4.24,Male,No,Sun,Lunch,3
32.83,1.17,Male,No,Sun,Lunch,2
17.71,1.57,Male,No,Sun,Lunch,2
29.64,4.00,Female,No,Sun,Lunch,3
14.37,1.50,Male,No,Sun,Lunch,2
22.59,3.00,Male,No,Sun,Lunch,2
32.83,1.17,Male,No,Sun,Lunch,2
17.71,1.57,Male,No,Sun,Lunch,2
21.73,4.00,Female,Yes,Sun,Lunch,4
13.45,1.50,Male,Yes,Sun,Lunch,3
29.29,2.60,Male,Yes,Sun,Lunch,3
22.48,3.35,Female,Yes,Sun,Lunch,3
22.82,2.18,Male,Yes,Sun,Lunch,3
18.78,3.00,Female,Yes,Sun,Lunch,3
32.74,3.48,Male,Yes,Sun,Lunch,4
21.76,4.29,Female,Yes,Sun,Lunch,4
14.37,1.50,Male,Yes,Sun,Lunch,2
22.59,3.00,Male,Yes,Sun,Lunch,2
32.83,1.17,Male,Yes,Sun,Lunch,2
17.71,1.57,Male,Yes,Sun,Lunch,2
29.64,4.00,Female,Yes,Sun,Lunch,3
17.21,2.29,Male,Yes,Sun,Lunch,2
13.42,1.48,Female,Yes,Sun,Lunch,2
10.33,1.67,Female,Yes,Sun,Lunch,3
16.81,2.00,Male,Yes,Sun,Lunch,2
35.12,4.15,Male,Yes,Sun,Dinner,3
18.98,5.20,Female,Yes,Sun,Dinner,2
38.68,5.00,Male,Yes,Sun,Dinner,2
34.67,4.00,Male,Yes,Sun,Dinner,3
32.97,3.00,Male,Yes,Sun,Dinner,2
14.77,1.47,Male,Yes,Sun,Dinner,2
38.30,4.30,Male,Yes,Sun,Dinner,4
42.07,4.00,Male,Yes,Sun,Dinner,3
25.97,5.00,Female,Yes,Sun,Dinner,2
24.65,3.35,Male,Yes,Sat,Dinner,3
21.92,4.08,Male,Yes,Sat,Dinner,2
22.34,2.34,Female,Yes,Sat,Dinner,2
17.11,1.00,Female,Yes,Sat,Dinner,2
41.51,2.00,Male,Yes,Sat,Dinner,4
25.58,3.92,Female,Yes,Sat,Lunch,2
23.69,3.00,Male,Yes,Sat,Lunch,4
25.34,3.63,Male,Yes,Sat,Lunch,3
41.06,4.00,Male,Yes,Fri,Dinner,4
20.06,2.73,Male,Yes,Fri,Dinner,2
28.27,2.03,Male,Yes,Fri,Lunch,2
16.76,2.23,Female,Yes,Fri,Lunch,2
34.07,5.25,Male,Yes,Fri,Lunch,2
29.89,5.16,Female,Yes,Fri,Lunch,3
52.33,9.00,Male,Yes,Fri,Lunch,4
17.27,1.90,Male,Yes,Fri,Lunch,2
24.30,2.03,Male,Yes,Fri,Lunch,2
28.44,3.30,Male,Yes,Fri,Lunch,2
23.77,2.18,Female,Yes,Fri,Lunch,4
